Year,Group,HCSal
2010-11,Mens,93984
2011-12,Mens,93984
2011-12,Mens,102068
2012-13,Mens,102068
2012-13,Mens,101901
2013-14,Mens,101901
2013-14,Mens,118536
2014-15,Mens,118536
2014-15,Mens,131018
2015-16,Mens,131018
2015-16,Mens,148725
2016-17,Mens,148725
2016-17,Mens,163915
2017-18,Mens,163915
2017-18,Mens,177823
2018-19,Mens,177823
2018-19,Mens,180786
2019-20,Mens,180786
2019-20,Mens,174733
2010-11,Womens,73516
2011-12,Womens,73516
2011-12,Womens,72772
2012-13,Womens,72772
2012-13,Womens,73857
2013-14,Womens,73857
2013-14,Womens,84396
2014-15,Womens,84396
2014-15,Womens,86060
2015-16,Womens,86060
2015-16,Womens,90215
2016-17,Womens,90215
2016-17,Womens,86465
2017-18,Womens,86465
2017-18,Womens,93149
2018-19,Womens,93149
2018-19,Womens,98845
2019-20,Womens,98845
2019-20,Womens,96588
