team,div,value,school
m,OperatingExpenses,3028191,Columbia
m,CoachSalaries,4985577,Columbia
m,RecruitingExpenses,786757,Columbia
m,OtherExpenses,3758254,Columbia
f,OperatingExpenses,1734977,Columbia
f,CoachSalaries,2597451,Columbia
f,RecruitingExpenses,316503,Columbia
f,OtherExpenses,1470208,Columbia
m,OperatingExpenses,3839160,Penn
m,CoachSalaries,4274571,Penn
m,RecruitingExpenses,568474,Penn
m,OtherExpenses,2807933,Penn
f,OperatingExpenses,2732752,Penn
f,CoachSalaries,3441641,Penn
f,RecruitingExpenses,526605,Penn
f,OtherExpenses,2449505,Penn
m,OperatingExpenses,4472264,Yale
m,CoachSalaries,4698909,Yale
m,RecruitingExpenses,843500,Yale
m,OtherExpenses,4063238,Yale
f,OperatingExpenses,2800151,Yale
f,CoachSalaries,3121503,Yale
f,RecruitingExpenses,342255,Yale
f,OtherExpenses,1642957,Yale
m,OperatingExpenses,2485438,Cornell
m,CoachSalaries,4283514,Cornell
m,RecruitingExpenses,714482,Cornell
m,OtherExpenses,5924476,Cornell
f,OperatingExpenses,1620069,Cornell
f,CoachSalaries,2771136,Cornell
f,RecruitingExpenses,357344,Cornell
f,OtherExpenses,3556029,Cornell
m,OperatingExpenses,3779587,Princeton
m,CoachSalaries,4884552,Princeton
m,RecruitingExpenses,1257981,Princeton
m,OtherExpenses,4380269,Princeton
f,OperatingExpenses,2109224,Princeton
f,CoachSalaries,2499992,Princeton
f,RecruitingExpenses,250772,Princeton
f,OtherExpenses,1431836,Princeton
m,OperatingExpenses,3255841,Dartmouth
m,CoachSalaries,3569936,Dartmouth
m,RecruitingExpenses,657879,Dartmouth
m,OtherExpenses,2987245,Dartmouth
f,OperatingExpenses,2490449,Dartmouth
f,CoachSalaries,2488527,Dartmouth
f,RecruitingExpenses,418786,Dartmouth
f,OtherExpenses,1609562,Dartmouth
m,OperatingExpenses,3303361,Brown
m,CoachSalaries,3707457,Brown
m,RecruitingExpenses,593750,Brown
m,OtherExpenses,2528519,Brown
f,OperatingExpenses,2371723,Brown
f,CoachSalaries,2785958,Brown
f,RecruitingExpenses,231440,Brown
f,OtherExpenses,1851087,Brown
m,OperatingExpenses,3556727,Harvard
m,CoachSalaries,5117686,Harvard
m,RecruitingExpenses,822166,Harvard
m,OtherExpenses,3265742,Harvard
f,OperatingExpenses,2970381,Harvard
f,CoachSalaries,3584706,Harvard
f,RecruitingExpenses,428323,Harvard
f,OtherExpenses,2194585,Harvard
